dgp,seed,ntrain,temperature,n_test,n_chains,n_posterior,gr_posterior_mean,gr_q5,gr_q25,gr_q50,gr_q75,gr_q95,rmse_credible,coverage_credible
1199_BNG_echoMonths,6,1000,3.0,1750,8,1000,1.0027402639389038,1.0045838356018066,1.0028173923492432,1.0010955333709717,1.0057302713394165,1.0243046283721924,12.257202373366763,0.7895714285714286
1199_BNG_echoMonths,6,1000,1.0,1750,8,1000,0.9999416470527649,1.0001376867294312,0.9999536871910095,1.0010703802108765,1.0007628202438354,0.9999837875366211,12.086418340254143,0.47250000000000003
1199_BNG_echoMonths,8,1000,2.0,1750,8,1000,0.9999993443489075,1.0004242658615112,0.9996957778930664,1.0001391172409058,1.0010713338851929,1.003170132637024,11.992585570333699,0.6071428571428572
1199_BNG_echoMonths,8,1000,3.0,1750,8,1000,1.0048099756240845,1.0014870166778564,1.0039397478103638,1.0036184787750244,1.0026968717575073,1.00190007686615,12.277678853813544,0.787
1199_BNG_echoMonths,8,1000,1.0,1750,8,1000,0.9997603893280029,1.0002734661102295,1.0007847547531128,1.0004817247390747,1.0009710788726807,1.0025830268859863,11.966658762611004,0.4709285714285715
1199_BNG_echoMonths,8,10000,1.0,1750,8,1000,1.015708088874817,1.033583641052246,1.0415058135986328,1.0462744235992432,1.024804711341858,1.0759258270263672,11.559117193802399,0.26721428571428574
1199_BNG_echoMonths,8,10000,2.0,1750,8,1000,1.0244790315628052,1.0064997673034668,1.0227856636047363,1.0269160270690918,1.0231070518493652,1.0090593099594116,11.523608670965556,0.4077857142857143
1199_BNG_echoMonths,8,10000,3.0,1750,8,1000,1.0220328569412231,1.0079377889633179,1.01066255569458,1.0247111320495605,1.0094722509384155,1.0189285278320312,11.672387373463135,0.6390714285714285
1199_BNG_echoMonths,8,200,2.0,1750,8,1000,0.9997823238372803,1.000623106956482,1.0001345872879028,1.0000429153442383,1.0001444816589355,1.001110553741455,12.483003889305468,0.7134285714285715
1199_BNG_echoMonths,8,200,3.0,1750,8,1000,0.9995770454406738,1.0008976459503174,1.0002907514572144,0.9998265504837036,1.0004558563232422,1.0036295652389526,12.920748271307794,0.8648571428571428
1199_BNG_echoMonths,8,200,1.0,1750,8,1000,0.9998241662979126,0.9996505379676819,0.999902069568634,1.0002436637878418,1.00022292137146,1.000734806060791,12.395111521517975,0.5899285714285715
1199_BNG_echoMonths,2,10000,2.0,1750,8,1000,1.0329467058181763,1.0090781450271606,1.0269451141357422,1.0616692304611206,1.0208659172058105,1.0369384288787842,11.428394990650105,0.42478571428571427
1199_BNG_echoMonths,2,10000,3.0,1750,8,1000,1.013231873512268,1.01498281955719,1.0051790475845337,1.0282355546951294,1.0089986324310303,1.021393895149231,11.521088530467544,0.6541428571428571
1199_BNG_echoMonths,2,10000,1.0,1750,8,1000,1.0413790941238403,1.0234538316726685,1.0472843647003174,1.1151494979858398,1.069039225578308,1.025905966758728,11.48428665610879,0.29214285714285715
1199_BNG_echoMonths,2,1000,3.0,1750,8,1000,1.0010297298431396,1.0060937404632568,1.0010358095169067,1.0022279024124146,1.00203275680542,1.0102753639221191,12.16055195097759,0.7916428571428571
1199_BNG_echoMonths,2,1000,2.0,1750,8,1000,1.0003477334976196,1.0014429092407227,0.999805748462677,1.002305507659912,1.0003724098205566,1.0014044046401978,11.883731964858583,0.5905
1199_BNG_echoMonths,2,1000,1.0,1750,8,1000,1.0011178255081177,1.00153386592865,1.000246286392212,1.0002325773239136,1.000644564628601,1.0023512840270996,11.854090396090982,0.464
1199_BNG_echoMonths,2,200,2.0,1750,8,1000,1.000022292137146,0.9997681379318237,0.9999324083328247,1.000003695487976,0.9997656345367432,1.000527262687683,12.124831237301805,0.6965714285714286
1199_BNG_echoMonths,2,200,3.0,1750,8,1000,1.0031218528747559,1.0016742944717407,1.002441167831421,1.0017143487930298,1.0025602579116821,1.006650686264038,12.470097863955083,0.8663571428571428
1199_BNG_echoMonths,2,200,1.0,1750,8,1000,0.9996219873428345,0.9996616840362549,0.9997448325157166,0.9998977184295654,0.999748170375824,1.0001102685928345,12.044519568962686,0.5931428571428572
1199_BNG_echoMonths,5,10000,2.0,1750,8,1000,1.0112581253051758,1.0150357484817505,1.0214670896530151,1.022891640663147,1.0105922222137451,1.014285922050476,11.047872325492516,0.43642857142857144
1199_BNG_echoMonths,5,10000,3.0,1750,8,1000,1.011179804801941,1.0033355951309204,1.0099687576293945,1.0352332592010498,1.0140347480773926,1.0102344751358032,11.208718945110972,0.6595
1199_BNG_echoMonths,5,10000,1.0,1750,8,1000,1.0501234531402588,1.0359442234039307,1.041427731513977,1.066159963607788,1.0773944854736328,1.075050711631775,11.081640218313328,0.29628571428571426
